sampno,chhwgt,cexphhwgt,hctfip
7092913,1.330599961,520.9542402,37
7092935,0.308392345,120.7412477,37
7093058,1.600111496,626.4729393,37
7093155,0.298201165,116.7512143,37
7093375,1.134630122,444.228461,37
7093476,1.870521915,732.3435681,37
7093595,1.174349099,411.0739595,71
7093615,0.826907025,289.4539154,71
7093641,0.836164228,292.6943448,71
7093679,0.894137696,312.9876143,71
7093731,1.2824251,448.9053246,71
7093757,0.582747858,203.9874424,71
7093782,0.649438488,227.3321034,71
7093909,1.276591469,446.8632967,71
7093933,0.884128803,309.4840607,71
7093953,0.80610936,282.1738157,71
7093988,1.392092984,487.2939192,71
7093990,0.929100308,325.2260702,71
7094112,1.541809911,539.7014443,71
7094223,0.983186034,344.1584586,71
7094297,1.407852349,492.8103916,71
7094364,0.45435988,159.0459898,71
7094382,0.656267012,229.7223877,71
7094395,0.505012164,176.7765224,71
7094483,1.765025691,617.8368085,71
7094522,0.875249762,342.6763023,37
7094524,0.934598307,365.9123443,37
7094566,1.020351152,399.4861525,37
7094569,1.43302497,561.0555061,37
7094585,1.330599961,520.9542402,37
7094589,0.739289172,289.4452429,37
7094671,0.518550788,203.0221249,37
7094684,0.923954196,361.7449797,37
7094712,1.26940878,496.9967727,37
7094786,0.58777643,230.1252312,37
7094805,0.662617148,259.4267419,37
7094830,0.923954196,361.7449797,37
7095018,1.21701129,476.4821962,37
7095146,1.695895914,663.9742922,37
7095301,1.004132106,393.1360991,37
7095435,1.133556349,443.8080592,37
7095474,1.133556349,443.8080592,37
7095503,1.113473988,435.9454473,37
7095527,0.478018597,187.1530306,37
7095575,1.600111496,626.4729393,37
7095578,0.536463771,210.0353858,37
7095607,1.345779129,526.8971622,37
7095674,0.620947356,217.3589509,71
7095676,0.90353911,316.2785238,71
7095789,0.348018295,121.8217467,71
7095836,0.40047264,140.18308,71
7095898,0.45435988,159.0459898,71
7095960,0.768086952,300.7201007,37
7096240,1.14941014,450.0151088,37
7096263,2.277185553,891.5598258,37
7096400,1.270655722,497.4849732,37
7096523,0.615437774,240.9551536,37
7096624,1.012653553,396.4724018,37
7096948,1.440153365,563.846403,37
7096999,0.532844644,208.6184313,37
7097071,0.809277479,283.282797,71
7097125,0.894137696,312.9876143,71
7097214,0.423589277,148.2749222,71
7097240,1.161203547,406.4724365,71
7097245,1.380910944,483.3797121,71
7097380,0.566239794,198.2088922,71
7097424,0.650892113,227.8409362,71
7097426,0.635313281,222.3876581,71
7097533,0.464944937,182.0344531,37
7097624,0.453009309,177.3614366,37
7097637,0.943520999,369.4057412,37
