sampno,vehno,gpsdiarycomplete,nbgpstripsdiaryday,nbdiaryreportedtrips,rawmatchdifference,nbmissinggpstrips,nbmissingdiarytrips,nbadjustedmissdiary
2055542,1,1,5,5,0,0,0,0
2059750,1,1,5,4,1,0,1,1
2060835,1,1,0,0,0,0,0,0
2061644,1,1,2,2,0,0,0,0
2061644,2,1,4,2,2,0,2,2
2065077,1,1,1,2,-1,1,0,0
2067735,1,1,1,2,-1,1,0,0
2076915,1,1,6,4,2,0,2,2
2076915,2,1,8,6,2,0,2,2
2077038,1,1,2,2,0,0,0,0
2079481,1,1,3,4,-1,2,0,0
2079870,1,1,0,0,0,0,0,0
2081194,1,1,3,3,0,0,0,0
2087385,1,1,4,3,1,0,1,1
2089020,1,1,2,2,0,0,0,0
2089020,2,1,0,0,0,0,0,0
2089020,3,1,0,0,0,0,0,0
2089664,1,1,2,2,0,0,0,0
2090417,1,1,0,0,0,0,0,0
2090417,2,1,4,4,0,1,1,1
2091575,1,1,0,0,0,0,0,0
2091575,2,1,0,0,0,0,0,0
2092013,1,1,0,0,0,0,0,0
2093623,1,1,3,2,1,0,1,1
2093623,2,1,4,4,0,0,0,0
2093665,1,1,4,4,0,0,0,0
2094759,1,1,6,6,0,0,0,0
2094759,2,1,2,2,0,0,0,0
2097623,1,1,5,6,-1,1,0,0
2097623,2,1,0,0,0,0,0,0
2102763,1,1,16,12,4,0,4,4
2102763,2,1,0,0,0,0,0,0
2105161,1,1,2,2,0,0,0,0
2109168,1,1,0,0,0,0,0,0
2110228,1,1,6,6,0,0,0,0
2110228,2,1,0,0,0,0,0,0
2111735,1,1,2,2,0,0,0,0
2111735,2,1,2,2,0,0,0,0
2112938,1,1,0,0,0,0,0,0
2113763,1,1,2,1,1,0,1,1
2115522,1,1,11,7,4,0,4,4
2118071,1,1,0,0,0,0,0,0
2118071,2,1,8,8,0,0,0,0
2118071,3,1,6,6,0,0,0,0
2124189,1,1,0,0,0,0,0,0
2124189,2,1,3,3,0,0,0,0
2131756,1,1,0,0,0,0,0,0
2131756,2,1,0,0,0,0,0,0
2138491,1,1,2,2,0,1,1,1
2138491,2,1,3,2,1,0,1,1
2140668,1,1,2,2,0,0,0,0
2140668,2,1,0,0,0,0,0,0
2142467,1,1,2,2,0,0,0,0
2142467,2,1,8,8,0,0,0,0
2142774,1,1,7,7,0,0,0,0
2143135,1,1,7,7,0,0,0,0
2143234,1,1,0,0,0,0,0,0
2143234,2,1,2,2,0,0,0,0
2145125,1,1,3,3,0,0,0,0
2158234,1,1,7,7,0,0,0,0
2160062,1,1,5,5,0,0,0,0
2160062,2,1,0,0,0,0,0,0
2160062,3,1,2,2,0,0,0,0
2164601,2,1,2,2,0,0,0,0
2169564,1,1,12,7,5,2,7,7
2171118,1,1,5,5,0,1,1,1
2171118,2,1,4,3,1,0,1,1
2172179,1,1,4,4,0,0,0,0
2172179,2,1,13,13,0,0,0,0
2173648,1,1,6,5,1,0,1,1
2174068,1,1,8,4,4,0,4,4
2174068,2,1,7,6,1,0,1,1
2175988,1,1,2,2,0,0,0,0
2177861,1,1,3,3,0,0,0,0
2179333,1,1,0,0,0,0,0,0
2179333,2,1,4,4,0,0,0,0
2183489,1,1,16,16,0,0,0,0
2183999,1,1,6,6,0,0,0,0
