sampno,vehno,trip,startplace,endplace,startgpsplaceid,endgpsplaceid,newgpslist
1051649,3,2.0,REDACTED,REDACTED,2.0,3.0,
1051795,2,1.0,REDACTED,REDACTED,1.0,3.0,2
1051795,2,2.0,REDACTED,REDACTED,3.0,5.0,4
1051795,2,3.0,REDACTED,REDACTED,5.0,6.0,
1051795,2,4.0,REDACTED,REDACTED,6.0,8.0,7
1051795,2,5.0,REDACTED,REDACTED,8.0,9.0,
1051795,2,6.0,REDACTED,REDACTED,9.0,10.0,
1051795,2,7.0,REDACTED,REDACTED,10.0,11.0,
1054803,1,1.0,REDACTED,REDACTED,1.0,2.0,
1054803,1,2.0,REDACTED,REDACTED,2.0,3.0,
1054803,1,3.0,REDACTED,REDACTED,3.0,4.0,
1054803,1,4.0,REDACTED,REDACTED,4.0,5.0,
1119025,1,1.0,REDACTED,REDACTED,1.0,2.0,
1119025,1,2.0,REDACTED,REDACTED,2.0,4.0,3
1119025,1,3.0,REDACTED,REDACTED,4.0,7.0,"5, 6"
1119025,1,4.0,REDACTED,REDACTED,7.0,,
1119025,1,5.0,REDACTED,REDACTED,,9.0,
1119055,1,1.0,REDACTED,REDACTED,1.0,2.0,
1119055,1,2.0,REDACTED,REDACTED,2.0,3.0,
1119055,1,3.0,REDACTED,REDACTED,3.0,4.0,
1119055,1,4.0,REDACTED,REDACTED,4.0,5.0,
1119055,1,5.0,REDACTED,REDACTED,5.0,6.0,
1119055,1,6.0,REDACTED,REDACTED,6.0,7.0,
1119055,2,1.0,REDACTED,REDACTED,1.0,2.0,
1119055,2,2.0,REDACTED,REDACTED,2.0,3.0,
1119055,2,3.0,REDACTED,REDACTED,3.0,4.0,
1119070,1,1.0,REDACTED,REDACTED,1.0,3.0,2
1119070,1,2.0,REDACTED,REDACTED,3.0,4.0,
1119070,1,3.0,REDACTED,REDACTED,4.0,5.0,
1119070,1,4.0,REDACTED,REDACTED,5.0,6.0,
1119070,1,5.0,REDACTED,REDACTED,6.0,7.0,
1119070,1,6.0,REDACTED,REDACTED,7.0,8.0,
1119070,1,7.0,REDACTED,REDACTED,8.0,9.0,
1119070,1,8.0,REDACTED,REDACTED,9.0,10.0,
1119070,1,9.0,REDACTED,REDACTED,10.0,11.0,
1119070,2,1.0,REDACTED,REDACTED,1.0,2.0,
1119070,2,2.0,REDACTED,REDACTED,2.0,3.0,
1119070,2,3.0,REDACTED,REDACTED,3.0,4.0,
1119070,2,4.0,REDACTED,REDACTED,4.0,5.0,
1119070,2,5.0,REDACTED,REDACTED,5.0,7.0,6
1119070,2,999.0,REDACTED,REDACTED,7.0,8.0,8
1119821,2,1.0,REDACTED,REDACTED,1.0,2.0,
1119821,2,2.0,REDACTED,REDACTED,2.0,3.0,
1119821,2,3.0,REDACTED,REDACTED,3.0,4.0,
1119821,3,1.0,REDACTED,REDACTED,1.0,2.0,
1119821,3,2.0,REDACTED,REDACTED,2.0,3.0,
1120424,1,1.0,REDACTED,REDACTED,1.0,2.0,
1120424,1,2.0,REDACTED,REDACTED,2.0,5.0,"3, 4"
1120424,1,3.0,REDACTED,REDACTED,5.0,7.0,6
1120424,1,4.0,REDACTED,REDACTED,7.0,8.0,
1120935,1,1.0,REDACTED,REDACTED,1.0,2.0,
1120935,1,2.0,REDACTED,REDACTED,2.0,3.0,
1120935,2,1.0,REDACTED,REDACTED,,,
1120935,2,2.0,REDACTED,REDACTED,1.0,2.0,
1120935,2,3.0,REDACTED,REDACTED,2.0,3.0,
1120935,2,4.0,REDACTED,REDACTED,3.0,5.0,4
1120935,2,5.0,REDACTED,REDACTED,5.0,6.0,
1120935,2,6.0,REDACTED,REDACTED,6.0,7.0,
1120935,2,7.0,REDACTED,REDACTED,7.0,8.0,
1120935,2,8.0,REDACTED,REDACTED,8.0,9.0,
1120935,2,9.0,REDACTED,REDACTED,9.0,11.0,10
1121105,2,1.0,REDACTED,REDACTED,1.0,2.0,
1121105,2,2.0,REDACTED,REDACTED,2.0,5.0,"3, 4"
1121105,2,3.0,REDACTED,REDACTED,5.0,7.0,6
1121105,2,4.0,REDACTED,REDACTED,7.0,8.0,
1121105,2,5.0,REDACTED,REDACTED,8.0,10.0,9
1121105,2,6.0,REDACTED,REDACTED,10.0,12.0,11
1121105,2,7.0,REDACTED,REDACTED,12.0,13.0,
1121290,1,1.0,REDACTED,REDACTED,,,
1121290,1,2.0,REDACTED,REDACTED,1.0,2.0,
1121290,1,3.0,REDACTED,REDACTED,2.0,3.0,
1121290,1,4.0,REDACTED,REDACTED,3.0,4.0,
1121290,1,5.0,REDACTED,REDACTED,4.0,5.0,
1121290,1,6.0,REDACTED,REDACTED,5.0,6.0,
1123111,1,1.0,REDACTED,REDACTED,1.0,2.0,
1123111,1,2.0,REDACTED,REDACTED,2.0,3.0,
1123111,1,3.0,REDACTED,REDACTED,3.0,4.0,
1123111,1,4.0,REDACTED,REDACTED,4.0,8.0,"5, 6, 7"
1123111,2,1.0,REDACTED,REDACTED,1.0,2.0,
1123111,2,2.0,REDACTED,REDACTED,2.0,3.0,
1125362,1,1.0,REDACTED,REDACTED,1.0,2.0,
1151384,1,-999.0,REDACTED,REDACTED,1.0,3.0,"1, 2"
1125362,1,2.0,REDACTED,REDACTED,2.0,3.0,
1125362,1,3.0,REDACTED,REDACTED,3.0,4.0,
1125362,1,4.0,REDACTED,REDACTED,4.0,5.0,
1125362,1,5.0,REDACTED,REDACTED,5.0,6.0,
1125362,1,6.0,REDACTED,REDACTED,6.0,7.0,
1125362,1,999.0,REDACTED,REDACTED,7.0,8.0,8
1125362,2,1.0,REDACTED,REDACTED,1.0,2.0,
1125362,2,2.0,REDACTED,REDACTED,2.0,3.0,
1125362,2,999.0,REDACTED,REDACTED,3.0,4.0,4
1125585,1,1.0,REDACTED,REDACTED,1.0,2.0,
1125585,1,2.0,REDACTED,REDACTED,2.0,3.0,
1125585,2,1.0,REDACTED,REDACTED,1.0,2.0,
1125585,2,2.0,REDACTED,REDACTED,2.0,3.0,
1125585,2,3.0,REDACTED,REDACTED,3.0,4.0,
1128195,1,1.0,REDACTED,REDACTED,1.0,2.0,
1128195,1,2.0,REDACTED,REDACTED,2.0,3.0,
1128195,1,3.0,REDACTED,REDACTED,3.0,6.0,"4, 5"
1128195,1,4.0,REDACTED,REDACTED,6.0,7.0,
