sampno,vehno,diarytripsday1,gpstripsday1,gpstripsday2,gpstripsday3,gpstripsday4,gpstripsday5,gpstripsday6,gpstripsday7,totalgpstrips,geom
1152646,2,5,6,4,0,2,0,0,6,18,REDACTED
1153250,1,6,8,7,5,4,6,4,13,47,REDACTED
1153250,2,0,0,0,0,0,0,0,0,0,REDACTED
1153377,1,0,0,0,6,1,0,0,0,7,REDACTED
1154089,1,5,14,8,15,15,0,18,15,85,REDACTED
1154089,3,5,7,9,7,10,0,0,2,35,REDACTED
1155144,1,6,15,14,8,12,9,5,6,69,REDACTED
1155158,1,10,8,10,8,0,0,0,0,26,REDACTED
1155158,2,2,1,5,0,0,0,0,0,6,REDACTED
1156622,1,6,6,2,12,2,0,8,11,41,REDACTED
1156622,2,2,2,8,7,11,0,0,2,30,REDACTED
1156732,1,2,2,5,3,0,0,0,0,10,REDACTED
1156732,2,8,10,16,3,7,8,0,8,52,REDACTED
1157183,1,12,0,0,0,0,0,0,0,0,REDACTED
1157183,2,2,3,0,0,0,0,0,0,3,REDACTED
1157183,3,10,14,0,0,0,0,0,0,14,REDACTED
1158232,1,3,4,2,3,0,4,4,5,22,REDACTED
1158232,2,2,2,2,0,0,0,2,0,6,REDACTED
1158552,1,6,8,6,11,6,8,2,8,49,REDACTED
1158552,2,3,3,6,9,8,6,11,0,43,REDACTED
1158632,1,4,3,5,5,7,5,12,7,44,REDACTED
1158632,2,0,0,3,2,0,0,9,0,14,REDACTED
1158632,3,6,6,11,7,1,7,0,0,32,REDACTED
1158877,1,3,6,6,4,2,0,0,0,18,REDACTED
1158877,2,0,0,0,0,1,2,6,4,13,REDACTED
1158941,1,0,12,11,0,0,0,0,0,23,REDACTED
1158941,2,8,0,2,4,0,9,2,4,21,REDACTED
1158941,3,0,0,0,0,0,0,0,0,0,REDACTED
1159003,1,12,13,16,6,4,7,14,11,71,REDACTED
1178633,1,4,4,0,0,0,0,0,0,4,REDACTED
1178633,2,9,9,0,0,4,0,0,0,13,REDACTED
1179644,1,2,2,6,0,0,0,0,0,8,REDACTED
1186814,1,6,7,0,5,0,2,3,0,17,REDACTED
1186814,2,0,0,5,0,2,0,0,0,7,REDACTED
1190101,1,5,3,0,0,0,0,0,0,3,REDACTED
1190101,2,2,0,0,0,0,0,0,0,0,REDACTED
1190101,3,0,0,0,0,0,0,0,0,0,REDACTED
1196563,1,6,1,4,0,0,0,0,0,5,REDACTED
