sampno,home_county_id,mpo_id,vehicle_count,vehicle_count_gps,travel_day1,gps_trips_td,gps_trips_27,diary_trips_td,gps_complete,diary_complete,gps_diary_complete,deldateid,nsdeliverable,geom
2111735,6037,3,2,2,2012-07-25 00:00:00,4,47,4,1,1,1,3,1,REDACTED
2113763,6037,3,1,1,2012-10-09 00:00:00,2,12,1,1,1,1,4,1,REDACTED
2115522,6037,3,1,1,2012-10-29 00:00:00,11,41,7,1,1,1,4,1,REDACTED
2143135,6059,2,2,1,2012-11-05 00:00:00,7,36,7,1,1,1,4,1,REDACTED
2169564,6065,4,1,1,2012-10-11 00:00:00,12,44,7,1,1,1,5,1,REDACTED
2173648,6065,4,1,1,2012-10-03 00:00:00,6,68,5,1,1,1,4,1,REDACTED
2174068,6065,4,3,2,2012-10-31 00:00:00,15,138,10,1,1,1,5,1,REDACTED
2177861,6065,4,1,1,2012-08-23 00:00:00,3,47,3,1,1,1,3,1,REDACTED
2192767,6071,4,1,1,2012-07-29 00:00:00,0,0,0,1,1,1,3,1,REDACTED
2195580,6073,14,1,1,2012-10-08 00:00:00,9,58,9,1,1,1,4,1,REDACTED
2201952,6075,11,1,1,2012-10-16 00:00:00,0,30,0,1,1,1,4,1,REDACTED
2236435,6083,25,2,2,2012-07-02 00:00:00,10,40,9,1,1,1,3,1,REDACTED
2239382,6085,13,1,1,2012-09-04 00:00:00,9,3,7,1,1,1,5,1,REDACTED
2248993,6087,23,1,1,2012-08-26 00:00:00,3,38,3,1,1,1,3,1,REDACTED
2253040,6093,18,2,1,2012-10-21 00:00:00,0,24,0,1,1,1,4,1,REDACTED
2253778,6093,18,3,3,2012-10-31 00:00:00,9,24,10,1,1,1,4,1,REDACTED
2267338,6099,24,2,2,2012-07-28 00:00:00,0,81,0,1,1,1,3,1,REDACTED
2291208,6113,15,2,2,2012-09-01 00:00:00,16,114,12,1,1,1,3,1,REDACTED
2496311,6073,14,3,3,2012-11-22 00:00:00,7,75,6,1,1,1,5,1,REDACTED
2498788,6025,1,1,1,2012-09-20 00:00:00,3,61,4,1,1,1,4,1,REDACTED
2500911,6013,6,2,2,2012-11-03 00:00:00,2,30,2,1,1,1,4,1,REDACTED
2514178,6089,26,3,2,2012-09-23 00:00:00,7,25,7,1,1,1,4,1,REDACTED
